seed,mcnemar_rf_lr_p
299515287,0.75390625
1627835366,0.375
998252539,0.1795654296875
740884847,1.0
506436474,0.1796875
72001738,1.0
2029752240,0.7265625
1374149609,1.0
950191007,0.548828125
627828043,0.5810546875
532729051,0.8238029479980469
1189916378,1.0
1794500272,0.6072387695312499
332573650,0.076812744140625
1391158912,0.7265625
839303032,0.7744140625
1536453817,1.0
70096781,1.0
1906886291,0.803619384765625
1126224774,0.5810546875
435817167,0.75390625
766431470,0.6072387695312499
1148030822,0.5078125
562859874,0.548828125
192310379,0.34375
35482365,1.0
584129290,0.4239501953125
1966199335,1.0
546991807,0.2890625
1786913346,1.0
866053685,0.7744140625
450391046,1.0
603469045,0.7265625
1183297255,0.3876953125
871227286,0.453125
1402435601,0.2265625
1183883141,0.266845703125
304884780,0.2265625
926247806,0.7744140625
753789091,1.0
1313598646,0.5810546875
1292770478,0.548828125
340720469,1.0
247259338,0.4239501953125
1168536995,1.0
1072466540,1.0
841217608,0.03857421875
1411656602,1.0
596053354,1.0
694040702,0.2265625
976600590,0.5810546875
972449552,0.4239501953125
1063375252,0.3876953125
1334191430,0.5078125
332351684,0.5078125
2138777173,1.0
414781028,1.0
583251107,0.34375
933138757,0.359283447265625
290270235,1.0
23709836,0.75390625
1636153285,0.7265625
450430834,1.0
1780142852,0.5810546875
2104236961,1.0
1042773959,0.3876953125
731042537,0.1796875
1962642749,0.454498291015625
903160832,0.34375
2046362233,0.210113525390625
1570685397,0.34375
102414484,0.548828125
1292519607,1.0
745657169,0.14599609375
30211543,0.7744140625
1528545197,0.7265625
1029485465,1.0
1713209629,0.75390625
1541382836,1.0
1123652359,1.0
294050347,0.7744140625
1361399685,1.0
1475484617,1.0
1768350784,1.0
915802403,0.109375
692184321,1.0
167787019,0.7744140625
720906646,0.1796875
98112580,1.0
1051171143,1.0
323820950,1.0
1253181732,0.5078125
980306635,1.0
1808309256,0.332305908203125
1666376185,0.11846923828124999
1819457324,0.5810546875
479942422,1.0
1944876172,1.0
476650770,0.4239501953125
1679678491,0.5078125
1917145040,0.0654296875
1860425699,0.03857421875
444488501,0.7265625
640425698,0.2890625
1480668476,1.0
1278484628,1.0
936391627,0.7744140625
1793945627,0.125
5698259,0.79052734375
1320811065,0.480682373046875
45755345,0.4239501953125
1052523138,0.34375
582558164,0.34375
1741023205,1.0
2034983024,0.0703125
297573082,1.0
1501856497,0.0390625
353590483,0.548828125
151898374,1.0
930831061,1.0
1421661665,0.4239501953125
237329221,1.0
1244344816,0.09228515625
220763390,0.210113525390625
873437290,1.0
2074377956,0.75390625
399037795,0.75390625
885881171,1.0
1124905025,0.34375
1945630487,0.548828125
1072312721,0.75390625
700960641,1.0
1242205791,0.7744140625
709206213,0.548828125
150792631,0.2265625
