seed,scale_decision_tree,scale_logistic_regression,scale_random_forest,scale_svm,impute_rf,xgb_native,xgb_full,xgb_train
719945938,-0.005434782608695676,0.0,0.0,0.010869565217391353,-0.016304347826086918,0.8695652173913043,0.8532608695652174,0.8586956521739131
1315903881,0.0,0.0,0.0,0.0,0.005434782608695565,0.8586956521739131,0.8152173913043478,0.8260869565217391
1416542619,0.0,0.0,0.0,0.0,0.005434782608695565,0.8641304347826086,0.8641304347826086,0.8478260869565217
1748300020,0.005434782608695676,0.0,0.0,0.0,0.005434782608695676,0.875,0.8586956521739131,0.8532608695652174
534436561,0.0,0.0,0.0,0.0,0.005434782608695676,0.8206521739130435,0.8206521739130435,0.8206521739130435
1973057460,-0.005434782608695676,0.0,0.0,0.0,0.0,0.8586956521739131,0.8586956521739131,0.8641304347826086
109077341,0.0,0.0,0.0,0.0,-0.005434782608695676,0.8586956521739131,0.8532608695652174,0.8369565217391305
1933252443,-0.010869565217391353,0.0,0.0,0.0,0.0,0.8315217391304348,0.8043478260869565,0.8043478260869565
1073942744,0.005434782608695565,0.0,-0.005434782608695565,0.0,0.0,0.8478260869565217,0.842391304347826,0.8478260869565217
1170645904,0.0,0.0,0.010869565217391242,0.0,0.0,0.8695652173913043,0.8641304347826086,0.8641304347826086
1864124409,0.0,0.0,0.0,0.0,0.005434782608695676,0.8206521739130435,0.8369565217391305,0.842391304347826
85160275,0.005434782608695565,0.0,-0.005434782608695565,0.0,-0.005434782608695676,0.8315217391304348,0.8532608695652174,0.8369565217391305
2125887773,0.0,0.0,0.0,-0.005434782608695676,0.0,0.8532608695652174,0.8478260869565217,0.8586956521739131
153123646,-0.005434782608695676,0.0,0.0,-0.005434782608695565,0.005434782608695565,0.842391304347826,0.8532608695652174,0.842391304347826
861347482,0.0,0.0,-0.005434782608695565,-0.005434782608695676,-0.005434782608695676,0.9021739130434783,0.8695652173913043,0.8858695652173914
1337277525,0.005434782608695676,0.0,0.0,0.0,0.005434782608695676,0.8695652173913043,0.8641304347826086,0.8695652173913043
1407216795,0.0,0.0,0.0,0.0,-0.005434782608695676,0.8858695652173914,0.8858695652173914,0.8858695652173914
1873096035,0.0,0.0,0.0,0.0,0.0,0.9021739130434783,0.8804347826086957,0.8804347826086957
323503005,0.0,0.0,0.0,0.0,-0.005434782608695676,0.8152173913043478,0.8315217391304348,0.8315217391304348
1944803947,0.005434782608695565,0.0,-0.005434782608695676,0.005434782608695676,0.0,0.8913043478260869,0.8586956521739131,0.8586956521739131
1809624471,0.0,0.0,0.0,-0.005434782608695676,0.0,0.8260869565217391,0.8206521739130435,0.8206521739130435
52372625,0.0,0.0,0.0,0.0,0.0,0.842391304347826,0.8315217391304348,0.8315217391304348
1684598997,0.005434782608695676,0.0,0.0,0.0,0.0,0.8858695652173914,0.875,0.875
1046836037,0.0,0.0,0.0,-0.005434782608695676,-0.005434782608695676,0.8532608695652174,0.8478260869565217,0.8478260869565217
1764511543,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.8478260869565217,0.8478260869565217
1916129155,0.0,0.0,0.005434782608695676,0.0,0.0,0.842391304347826,0.8478260869565217,0.8478260869565217
889319620,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.842391304347826,0.842391304347826
859243063,0.0,0.0,0.005434782608695676,0.0,0.0,0.8641304347826086,0.8641304347826086,0.8641304347826086
421821007,0.0,0.0,0.0,0.0,0.005434782608695676,0.8478260869565217,0.7989130434782609,0.8152173913043478
1430130624,-0.005434782608695565,0.0,0.0,0.0,0.0,0.842391304347826,0.8260869565217391,0.8260869565217391
2127670396,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,0.8152173913043478,0.8152173913043478
1195809766,-0.005434782608695676,0.0,0.0,0.0,0.0,0.8641304347826086,0.875,0.8695652173913043
1915183132,0.005434782608695676,0.0,0.0,0.0,0.0,0.875,0.8695652173913043,0.8804347826086957
678932049,0.005434782608695676,0.0,0.0,0.0,0.005434782608695676,0.875,0.8804347826086957,0.8858695652173914
1028221948,0.0,0.0,0.0,0.0,0.0,0.8532608695652174,0.842391304347826,0.842391304347826
1911187370,-0.005434782608695676,0.0,0.0,0.0,0.005434782608695565,0.8043478260869565,0.8206521739130435,0.8206521739130435
1084594862,-0.005434782608695676,0.0,0.005434782608695565,0.0,0.0,0.8369565217391305,0.8315217391304348,0.8315217391304348
1378254408,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.8369565217391305,0.8315217391304348
949567492,0.0,0.0,0.0,0.0,0.0,0.8913043478260869,0.8858695652173914,0.8858695652173914
376653715,0.005434782608695676,0.0,0.0,0.0,0.0,0.8315217391304348,0.8369565217391305,0.8206521739130435
702845247,0.0,0.0,0.0,-0.005434782608695676,0.0,0.875,0.8586956521739131,0.8586956521739131
1120083541,0.0,0.0,0.0,0.0,0.0,0.8315217391304348,0.8206521739130435,0.8206521739130435
37473694,0.0,0.0,0.0,-0.005434782608695676,0.0,0.8804347826086957,0.8695652173913043,0.8695652173913043
1863364304,0.005434782608695676,0.0,0.0,0.0,0.005434782608695676,0.842391304347826,0.8260869565217391,0.8532608695652174
509702858,-0.005434782608695676,0.0,0.0,0.0,0.010869565217391353,0.8369565217391305,0.8260869565217391,0.8260869565217391
577156664,0.005434782608695676,0.0,-0.005434782608695676,0.0,0.0,0.8532608695652174,0.8586956521739131,0.8532608695652174
82411108,0.0,0.0,0.0,0.0,0.0,0.8586956521739131,0.842391304347826,0.842391304347826
1507380408,0.0,0.0,0.0,0.0,0.0,0.8478260869565217,0.8478260869565217,0.8532608695652174
1689961409,0.010869565217391353,0.0,0.0,0.0,0.0,0.8967391304347826,0.8641304347826086,0.8858695652173914
1604234904,0.0,0.0,0.0,0.0,0.0,0.9239130434782609,0.9184782608695652,0.9184782608695652
