seed,random,grouped,contamination
1783173823,0.8445378151260504,0.8211382113821138,0.36134453781512604
487784854,0.8487394957983193,0.7615062761506276,0.35294117647058826
1770968334,0.8571428571428571,0.8174273858921162,0.3865546218487395
287868995,0.8571428571428571,0.7958333333333333,0.3697478991596639
2098831143,0.8571428571428571,0.7551867219917012,0.40336134453781514
2126050261,0.8865546218487395,0.7974137931034483,0.35294117647058826
1948384257,0.8739495798319328,0.8201754385964912,0.35294117647058826
1418454448,0.8445378151260504,0.7851239669421488,0.3403361344537815
1054775224,0.8319327731092437,0.7590361445783133,0.33613445378151263
1463816757,0.865546218487395,0.8089430894308943,0.35294117647058826
1593675581,0.8403361344537815,0.7355371900826446,0.35714285714285715
799733665,0.9201680672268907,0.8122448979591836,0.38235294117647056
1843054196,0.8907563025210085,0.8085106382978723,0.37815126050420167
353984068,0.865546218487395,0.7975708502024291,0.3739495798319328
1750615352,0.819327731092437,0.7862903225806451,0.35294117647058826
360187555,0.8487394957983193,0.8291666666666667,0.35714285714285715
279705469,0.8949579831932774,0.759656652360515,0.37815126050420167
1210164804,0.8865546218487395,0.8291666666666667,0.39915966386554624
1477281101,0.8613445378151261,0.7805907172995781,0.36134453781512604
1122277455,0.7983193277310925,0.8042553191489362,0.3403361344537815
1881193406,0.8865546218487395,0.8,0.31932773109243695
1130839594,0.8319327731092437,0.7456896551724138,0.3235294117647059
234935008,0.8697478991596639,0.7833333333333333,0.3319327731092437
57845001,0.8739495798319328,0.8270042194092827,0.33613445378151263
1824463097,0.8697478991596639,0.7755102040816326,0.36554621848739494
986807428,0.8361344537815126,0.7942386831275721,0.3739495798319328
1230302164,0.8865546218487395,0.7950819672131147,0.4117647058823529
1423898005,0.8613445378151261,0.7813765182186235,0.40756302521008403
1973404817,0.8781512605042017,0.7575757575757576,0.3403361344537815
886792422,0.8529411764705882,0.8393574297188755,0.3907563025210084
524437858,0.8949579831932774,0.7966101694915254,0.4327731092436975
2111427778,0.865546218487395,0.8626609442060086,0.36554621848739494
1143266066,0.8361344537815126,0.7510373443983402,0.3865546218487395
520155717,0.865546218487395,0.7551020408163265,0.3865546218487395
1570976675,0.8781512605042017,0.831275720164609,0.3445378151260504
47389880,0.8487394957983193,0.7605042016806722,0.3319327731092437
1856805586,0.8277310924369747,0.7942386831275721,0.3445378151260504
333143030,0.8613445378151261,0.7682403433476395,0.3739495798319328
1641657465,0.8487394957983193,0.7907949790794979,0.3739495798319328
1140918586,0.8487394957983193,0.7647058823529411,0.3487394957983193
1500466889,0.865546218487395,0.7689075630252101,0.29831932773109243
1780940307,0.8361344537815126,0.7916666666666666,0.35294117647058826
1711696198,0.8739495798319328,0.8461538461538461,0.35294117647058826
1326055937,0.8445378151260504,0.7942386831275721,0.35294117647058826
17462500,0.8781512605042017,0.7892561983471075,0.3907563025210084
2102715721,0.8781512605042017,0.7510373443983402,0.33613445378151263
2052392117,0.8697478991596639,0.8140495867768595,0.3739495798319328
4553630,0.8991596638655462,0.8032786885245902,0.35294117647058826
540622383,0.8529411764705882,0.8085106382978723,0.35714285714285715
920543739,0.8361344537815126,0.8412017167381974,0.39915966386554624
1886087851,0.8445378151260504,0.7804878048780488,0.33613445378151263
1638252046,0.8487394957983193,0.8252032520325203,0.3319327731092437
1185246075,0.865546218487395,0.7637130801687764,0.3697478991596639
350223570,0.8781512605042017,0.7702127659574468,0.3277310924369748
792482140,0.8739495798319328,0.7801724137931034,0.35714285714285715
791752010,0.865546218487395,0.7581967213114754,0.3739495798319328
396424486,0.8739495798319328,0.7974137931034483,0.3739495798319328
8854162,0.8865546218487395,0.7676348547717843,0.35294117647058826
1913000454,0.8529411764705882,0.7436974789915967,0.3319327731092437
36721787,0.8529411764705882,0.7842323651452282,0.35294117647058826
115592621,0.8529411764705882,0.7552742616033755,0.3025210084033613
241868183,0.9033613445378151,0.7863247863247863,0.3319327731092437
1343755192,0.8697478991596639,0.8559670781893004,0.39915966386554624
1015057819,0.8487394957983193,0.8114754098360656,0.3697478991596639
1951359289,0.8907563025210085,0.823045267489712,0.36134453781512604
104208179,0.8907563025210085,0.8143459915611815,0.3697478991596639
928419030,0.8865546218487395,0.7468879668049793,0.36134453781512604
561176345,0.819327731092437,0.7854077253218884,0.2857142857142857
484670045,0.8487394957983193,0.8268398268398268,0.3697478991596639
534362164,0.8865546218487395,0.8114754098360656,0.42016806722689076
233421513,0.8823529411764706,0.7899159663865546,0.3739495798319328
1454460042,0.8445378151260504,0.7807017543859649,0.35714285714285715
103769033,0.8865546218487395,0.8025210084033614,0.3319327731092437
84431613,0.8697478991596639,0.7583333333333333,0.3487394957983193
369469125,0.8571428571428571,0.7751004016064257,0.3907563025210084
1651425125,0.8865546218487395,0.7875,0.3949579831932773
1524898506,0.8739495798319328,0.7551020408163265,0.37815126050420167
878408582,0.9117647058823529,0.7418032786885246,0.3739495798319328
756597112,0.8823529411764706,0.7764227642276422,0.3487394957983193
750503008,0.8235294117647058,0.7617021276595745,0.3445378151260504
1079436288,0.8697478991596639,0.7583333333333333,0.29831932773109243
864803182,0.8403361344537815,0.763265306122449,0.3739495798319328
678896695,0.865546218487395,0.8177966101694916,0.36134453781512604
1186879765,0.8781512605042017,0.799163179916318,0.3949579831932773
2062125815,0.8907563025210085,0.8125,0.3865546218487395
1030326948,0.8865546218487395,0.7668161434977578,0.35294117647058826
1193753799,0.8781512605042017,0.7583333333333333,0.3907563025210084
312745439,0.8277310924369747,0.7759336099585062,0.3235294117647059
1927950892,0.8697478991596639,0.8471074380165289,0.3445378151260504
354207689,0.8277310924369747,0.772,0.35714285714285715
1921762059,0.8907563025210085,0.8109243697478992,0.31932773109243695
315790489,0.8991596638655462,0.7991452991452992,0.3319327731092437
277214475,0.8697478991596639,0.7754237288135594,0.40336134453781514
773877917,0.8949579831932774,0.85,0.3739495798319328
301368534,0.865546218487395,0.7965367965367965,0.3739495798319328
1437068220,0.8865546218487395,0.7833333333333333,0.36134453781512604
2053435858,0.8697478991596639,0.8042553191489362,0.35714285714285715
1118481775,0.8487394957983193,0.7824267782426778,0.3487394957983193
243021692,0.865546218487395,0.7836734693877551,0.3697478991596639
22815287,0.8739495798319328,0.7740585774058577,0.35714285714285715
1725312552,0.8487394957983193,0.7611336032388664,0.3697478991596639
394709803,0.8361344537815126,0.7755102040816326,0.37815126050420167
534129526,0.8949579831932774,0.7717842323651453,0.3403361344537815
118154545,0.8697478991596639,0.7791666666666667,0.35714285714285715
2038988206,0.8907563025210085,0.7659574468085106,0.36134453781512604
1062338532,0.9159663865546218,0.7854077253218884,0.37815126050420167
554368842,0.8529411764705882,0.7958333333333333,0.3697478991596639
2127924446,0.8697478991596639,0.8008474576271186,0.37815126050420167
